Gene	sgRNA	ATRT_common|beta	ATRT_common|z	ATRT_common|p-value	ATRT_common|fdr	ATRT_common|wald-p-value	ATRT_common|wald-fdr
NCAPG	4	-0.78527	-2.8692	0.0026162	0.048309	0.0041155	0.10007
CCNT1	4	0.17297	0.61107	0.71834	0.94016	0.54116	0.6842
GTF2E2	4	-0.48817	-1.8014	0.01983	0.192	0.071643	0.47241
LILRA4	4	-0.075888	-0.55083	0.21615	0.64943	0.58175	0.71208
GAK	4	-0.0097056	-0.069832	0.30682	0.73975	0.94433	0.96575
ELP3	4	-1.3278	-3.2766	0	0	0.0010505	0.039993
DAPL1	4	0.31176	1.5029	0.84444	0.96879	0.13285	0.47241
CCDC175	4	0.1009	0.28534	0.52721	0.87508	0.77538	0.85162
DAAM1	4	0.41264	1.1737	0.51449	0.8691	0.24053	0.49112
GOLGA6C	4	-1.0286	-3.5163	0.00015697	0.0051282	0.00043758	0.023316
LOC149373	4	-0.077504	-0.4779	0.21432	0.64703	0.63272	0.74984
RHOA	4	-0.67875	-2.7102	0.0058602	0.085496	0.0067239	0.14358
GMPPA	4	0.0099349	0.088034	0.33759	0.76352	0.92985	0.95632
CYP46A1	4	-0.28227	-1.165	0.068439	0.3922	0.24401	0.49243
RNF217	4	-0.14325	-0.93394	0.14912	0.55729	0.35033	0.55651
MTA3	4	0.31674	1.1527	0.82854	0.9649	0.24902	0.49514
ALDOB	4	-0.020069	-0.054916	0.29066	0.72643	0.95621	0.97311
ZNF891	4	-0.65403	-2.6191	0.0069067	0.096491	0.0088163	0.16888
CTPS2	4	0.0059998	0.034947	0.33068	0.7563	0.97212	0.98339
CHRNA5	4	0.036499	0.16496	0.38698	0.80147	0.86898	0.91731
OFD1	4	-0.30393	-1.5894	0.059805	0.36576	0.11196	0.47241
CADPS2	4	0.31118	1.5214	0.84627	0.96926	0.12816	0.47241
FASLG	4	-0.22096	-1.4414	0.095123	0.45314	0.14946	0.47241
FBXO9	4	-0.22716	-1.4354	0.092403	0.44985	0.15117	0.47241
HECTD4	4	0.38045	1.4463	0.61668	0.90621	0.1481	0.47241
LOC100144595	4	-0.72198	-1.3739	0.0041859	0.066778	0.16948	0.47241
LAYN	4	-0.88514	-3.2698	0.00099414	0.023143	0.0010761	0.040407
STON1	4	-0.11765	-0.37247	0.17282	0.59457	0.70954	0.80565
SLC39A14	4	0.091458	0.62171	0.50455	0.86531	0.53413	0.67906
NUP62CL	4	-0.22588	-1.1813	0.093083	0.45072	0.23749	0.49027
TCEAL8	4	0.0050509	0.02971	0.32922	0.75571	0.9763	0.98652
GABRG3	3	0.20562	0.58806	0.81331	0.96237	0.55649	0.69468
GRHL1	4	0.020718	0.10645	0.35695	0.77797	0.91522	0.94714
JUP	4	0.41232	1.6803	0.51538	0.87014	0.092908	0.47241
RGL1	4	0.3262	1.1548	0.79594	0.95842	0.24817	0.49462
OGFOD1	4	0.24878	1.6753	0.94762	0.99038	0.093878	0.47241
CYC1	4	-1.069	-3.8147	0.00010465	0.0037037	0.00013632	0.01123
ITIH2	4	-0.11326	-0.56611	0.17685	0.60117	0.57132	0.70551
RPL15	4	-1.0876	-2.5047	5.2323e-05	0.0020243	0.012254	0.21233
ADH6	4	0.19711	1.4002	0.78453	0.95607	0.16147	0.47241
SOCS2	4	0.11236	0.63557	0.55562	0.88706	0.52506	0.67294
EFTUD1	4	-0.59912	-2.4193	0.0098368	0.12232	0.015549	0.2491
PNMA3	4	0.20651	1.2301	0.81242	0.96226	0.21865	0.48329
ZBTB9	4	0.48131	0.80843	0.32964	0.75603	0.41884	0.59974
CWF19L1	4	-0.057257	-0.35939	0.23776	0.67229	0.7193	0.81213
CLVS1	4	-0.036218	-0.24925	0.26664	0.70238	0.80317	0.87138
RIBC1	4	0.20193	1.3971	0.7985	0.95921	0.1624	0.47241
IRAK2	4	0.23022	1.0066	0.88625	0.97789	0.31412	0.53379
TLX2	4	0.52405	1.6204	0.23723	0.67215	0.10514	0.47241
ITFG1	4	0.34592	1.1215	0.7298	0.94201	0.26206	0.50196
RDH10	4	0.063658	0.26367	0.44454	0.83495	0.79203	0.86376
FAM9C	4	0.19786	1.4399	0.78699	0.9562	0.1499	0.47241
ARL13B	4	0.0744	0.30849	0.46714	0.84533	0.75771	0.83911
CCDC173	4	-0.09641	-0.7469	0.19396	0.62274	0.45513	0.62356
MSANTD4	4	0.061709	0.30676	0.43957	0.83172	0.75903	0.84023
GTF2IRD2B	4	0.12471	0.6188	0.58775	0.89715	0.53605	0.68059
IFI16	4	0.12928	0.94839	0.59884	0.90047	0.34293	0.55155
GLIPR1L2	4	0.54852	1.4644	0.19265	0.6215	0.1431	0.47241
ZPBP2	4	-0.15591	-0.84799	0.13934	0.54314	0.39644	0.58603
WDR35	4	0.77015	0.96008	0.020406	0.19588	0.33701	0.5478
SLC22A23	4	0.44683	1.5878	0.41503	0.8163	0.11232	0.47241
GINS3	4	-1.0366	-3.2868	0.00015697	0.0051282	0.0010132	0.039119
MRPS9	4	-0.4692	-1.958	0.022865	0.21307	0.050229	0.47241
JAKMIP2	4	0.54506	1.2553	0.19982	0.62906	0.20937	0.48132
CLEC4D	4	-0.068905	-0.30494	0.22431	0.65741	0.76041	0.84132
MSI2	4	0.19351	0.69543	0.77559	0.95475	0.48679	0.64554
CHRNG	4	0.11557	0.36599	0.56378	0.8886	0.71437	0.80879
TBXAS1	4	0.1907	0.92383	0.76753	0.95229	0.35557	0.56024
UROS	4	-0.74617	-2.9443	0.0034533	0.058047	0.0032368	0.084975
KIF22	4	-0.39749	-1.9311	0.035475	0.2773	0.053468	0.47241
SLAIN1	4	0.31137	1.1693	0.84565	0.96883	0.24226	0.49184
AMPD3	4	0.035032	0.18705	0.38353	0.79865	0.85162	0.90539
ZMAT1	4	0.027049	0.1136	0.36809	0.78595	0.90956	0.9436
SLC13A4	4	0.49765	1.5897	0.29222	0.72816	0.1119	0.47241
PHF6	4	-0.55613	-2.1673	0.013028	0.14725	0.03021	0.38646
TRDN	4	0.20683	0.97107	0.81305	0.96237	0.33151	0.54425
DDB2	4	0.53014	0.77815	0.22604	0.65924	0.43648	0.61109
CDC42BPA	4	-0.1758	-0.75063	0.12275	0.50967	0.45288	0.62177
NPM3	4	0.51725	1.1315	0.25115	0.68635	0.25785	0.49997
RGS6	4	0.21729	0.78401	0.84559	0.96883	0.43303	0.60885
RAD17	4	0.086031	0.29988	0.49304	0.8602	0.76427	0.84422
DNAJC2	4	-0.28167	-0.69943	0.068543	0.39222	0.48428	0.64346
S100A12	4	0.05259	0.18296	0.4189	0.81972	0.85483	0.90771
PYGO2	4	-0.051751	-0.34262	0.24487	0.68146	0.73188	0.82124
ADGRD1	3	0.81771	0.82939	0.025795	0.2292	0.40688	0.59211
FAM65B	4	0.07611	0.43412	0.47007	0.84779	0.6642	0.77276
UBR7	4	0.10386	0.77698	0.53548	0.87914	0.43717	0.61139
TMEM208	4	0.16932	0.87239	0.70657	0.93526	0.383	0.57721
EFHB	4	0.60718	1.7171	0.11202	0.48915	0.085965	0.47241
KIAA0513	4	-0.03581	-0.22644	0.26716	0.70277	0.82086	0.88405
BHMT2	4	0.48921	1.7143	0.31101	0.74347	0.086469	0.47241
PPP2CA	4	-0.73274	-3.0619	0.0038719	0.063248	0.0021991	0.066083
SLC35E1	4	0.00057475	0.0036026	0.32184	0.74973	0.99713	0.99827
TMEM14A	4	0.33136	0.79368	0.78009	0.95508	0.42738	0.60505
ZNF331	4	-0.20794	-0.76141	0.10287	0.47093	0.44641	0.61744
ZNF471	4	0.44215	1.3943	0.42978	0.82575	0.16323	0.47241
CDK11B	4	-0.42772	-2.1769	0.030295	0.25372	0.029489	0.38157
RBMX2	4	-0.96077	-3.0566	0.00047091	0.013216	0.0022388	0.066778
SCN2B	4	0.70287	1.2012	0.041754	0.30342	0.22968	0.48708
ZNF805	4	0.084061	0.63613	0.48859	0.85995	0.52469	0.67269
FAM73A	4	0.54224	1.2324	0.20422	0.63413	0.2178	0.48312
ACER3	4	-0.074704	-0.29498	0.21735	0.65003	0.76801	0.84644
ZNF627	4	0.056601	0.32182	0.42748	0.82417	0.74759	0.83225
PFDN4	4	-0.37367	-2.1401	0.040446	0.29777	0.03235	0.40852
HERC2	4	0.049476	0.2039	0.41136	0.81363	0.83843	0.89747
EEFSEC	4	0.19949	0.71362	0.7916	0.95735	0.47546	0.63744
C6orf48	4	-0.073714	-0.5846	0.2185	0.65009	0.55882	0.69627
SMC6	4	-1.5937	-3.9944	0	0	6.4863e-05	0.0072073
DCLK1	4	-0.16895	-0.87355	0.12871	0.52274	0.38236	0.57676
GLO1	4	0.14863	0.8538	0.64938	0.91667	0.39321	0.5837
UBN1	4	-0.28636	-1.5478	0.066712	0.38872	0.12168	0.47241
IGF2BP2	4	0.30264	1.6537	0.8749	0.97493	0.098193	0.47241
UTP14C	4	-0.045822	-0.17264	0.2533	0.68891	0.86293	0.91325
ATF7IP	4	-0.083667	-0.46818	0.20631	0.6372	0.63965	0.75529
SPDYC	4	0.12054	0.55274	0.57644	0.89412	0.58044	0.71121
RASGRF1	4	0.42877	1.6176	0.46657	0.84533	0.10576	0.47241
ZNF529	4	0.34457	1.1332	0.73399	0.9432	0.25713	0.49927
LMTK2	4	-0.34068	-1.6252	0.048451	0.32838	0.10411	0.47241
MICALL2	4	-0.16512	-0.98691	0.13222	0.52955	0.32369	0.53916
BBOX1	4	-0.2711	-1.6441	0.072625	0.40185	0.10015	0.47241
RBPMS	4	0.38966	1.3839	0.58754	0.89715	0.16638	0.47241
TUSC3	4	0.40671	1.5256	0.53364	0.87857	0.1271	0.47241
RALBP1	4	0.23856	0.59325	0.91377	0.98516	0.55301	0.6921
OPA1	4	-0.67805	-2.0941	0.0058602	0.085496	0.036247	0.43956
C10orf131	4	0.35637	0.77638	0.69328	0.92989	0.43753	0.61157
GPX8	4	-0.11666	-0.6608	0.17377	0.59591	0.50874	0.66165
SEC22B	4	-0.52515	-1.6283	0.015802	0.16722	0.10346	0.47241
CALML4	4	0.19126	1.0459	0.76941	0.95324	0.29561	0.52283
TOB1	4	0.27085	0.99786	0.9797	0.99718	0.31835	0.5365
PXYLP1	4	0.42809	1.4619	0.46861	0.8465	0.14377	0.47241
SYNM	4	0.40401	1.647	0.54348	0.88341	0.099564	0.47241
C10orf25	4	0.32476	1.1945	0.80133	0.96031	0.2323	0.48874
ZNF324	4	0.090766	0.92681	0.50267	0.86398	0.35402	0.55939
PCDHB12	4	0.12289	0.59235	0.58262	0.89691	0.55361	0.69245
EVC2	4	0.17664	1.188	0.72886	0.94201	0.23484	0.48973
APBB3	4	0.27436	1.4996	0.96876	0.99501	0.13372	0.47241
ADGB	4	-0.035076	-0.18028	0.26873	0.70491	0.85693	0.90947
PDAP1	4	0.2142	0.879	0.83597	0.96699	0.3794	0.57521
CXorf57	4	0.10656	0.55795	0.54191	0.88257	0.57688	0.70922
ZNF326	4	0.51545	1.4879	0.25403	0.68992	0.13677	0.47241
ANAPC5	4	-0.58944	-1.9269	0.010517	0.12786	0.053986	0.47241
STRAP	4	-1.3805	-4.0014	0	0	6.2963e-05	0.0071204
PCP4L1	4	0.28098	0.97423	0.94726	0.99038	0.32994	0.54328
NCBP2	4	-0.78609	-2.7237	0.0026162	0.048309	0.006456	0.13926
AIF1	4	-0.033714	-0.18988	0.2703	0.70651	0.84941	0.90409
NINL	4	0.34636	1.3359	0.72829	0.94201	0.18159	0.47241
APIP	4	-0.15606	-0.71705	0.13923	0.54295	0.47334	0.63574
NCAM2	4	0.62736	1.7028	0.092664	0.45006	0.088613	0.47241
SLC15A5	4	0.10499	0.2495	0.53772	0.88048	0.80297	0.87131
PDRG1	4	-0.88846	-2.8501	0.00099414	0.023143	0.0043707	0.10455
NPAP1	4	0.38434	1.725	0.6037	0.90184	0.084529	0.47241
HMGA1	4	-0.41513	-1.0925	0.032754	0.26695	0.27462	0.50994
SF3B1	4	-0.65804	-2.3442	0.0066974	0.094256	0.019067	0.28417
NEK5	4	0.067791	0.33635	0.45322	0.83968	0.73661	0.82433
C21orf59	4	-0.73238	-2.7308	0.0038719	0.063248	0.006319	0.13716
IDI2	4	0.27109	1.2114	0.9785	0.99701	0.22573	0.48512
CYP2F1	4	0.20552	0.924	0.80954	0.96219	0.35548	0.56024
OR10K2	4	0.37645	1.5994	0.62882	0.91094	0.10974	0.47241
CLEC16A	4	0.50646	1.6474	0.27219	0.70804	0.099468	0.47241
POLR3E	4	-0.92253	-2.6389	0.00062788	0.016552	0.0083165	0.16285
STK17A	4	0.19021	0.8191	0.76632	0.95194	0.41273	0.59586
RPLP1	4	-0.65421	-1.9825	0.0069067	0.096491	0.047422	0.47241
ZNF329	4	-0.097129	-0.27624	0.19323	0.62203	0.78236	0.85688
TMEM38B	4	0.53618	1.7188	0.21552	0.64876	0.08565	0.47241
CD163L1	4	0.64195	1.505	0.078432	0.41755	0.13232	0.47241
CCDC169-SOHLH2	4	-0.058916	-0.4352	0.23587	0.67053	0.66342	0.77214
DNAJA4	4	0.64917	1.7066	0.072468	0.40185	0.087893	0.47241
KIAA1456	4	0.45285	1.6432	0.40163	0.80881	0.10033	0.47241
KCNS2	4	0.47518	1.6715	0.3434	0.76838	0.094618	0.47241
SKAP1	4	0.32316	1.4935	0.80698	0.96141	0.1353	0.47241
FAM135B	4	0.30577	1.1466	0.8649	0.97267	0.25156	0.49609
PPP3CB	4	0.012046	0.075125	0.34172	0.76721	0.94012	0.96299
OR2L8	4	0.048931	0.16952	0.41037	0.8135	0.86539	0.91487
GDNF-AS1	4	0.101	0.37279	0.52742	0.87508	0.7093	0.80554
DOCK1	4	0.8111	0.68873	0.012767	0.14593	0.49099	0.64828
NAP1L2	4	0.2586	0.89867	0.98116	0.99734	0.36883	0.56755
DCAF16	4	0.18605	1.2708	0.75424	0.94836	0.2038	0.47976
AKR1C4	4	0.42961	1.0006	0.46421	0.84439	0.31703	0.53587
CCDC152	4	-0.44203	-1.4782	0.027051	0.23564	0.13937	0.47241
OR6C75	4	0.68182	1.1354	0.051643	0.33999	0.2562	0.49889
OR6P1	4	0.30319	1.0399	0.87249	0.97378	0.29839	0.52489
ALS2	4	0.38662	1.5681	0.59648	0.89998	0.11686	0.47241
GNPDA2	4	-0.055941	-0.45012	0.23974	0.67472	0.65263	0.76446
CYP3A7	4	0.25844	1.0632	0.98069	0.99734	0.28768	0.51743
OR4F5	4	-0.14691	-0.47196	0.14661	0.55485	0.63696	0.75336
DMTN	4	0.2693	1.0802	0.98472	0.99799	0.28004	0.51286
GALNT3	4	0.092428	0.8919	0.50623	0.86583	0.37245	0.56996
GRINA	4	0.35911	0.98993	0.6846	0.92617	0.32221	0.53811
ZNF302	4	-0.11748	-0.56358	0.17288	0.59457	0.57304	0.70643
TBCA	4	-0.68042	-2.0867	0.0058079	0.085319	0.036918	0.44432
FAM227B	4	0.39391	1.7102	0.57351	0.89281	0.087231	0.47241
FCER2	4	0.25174	1.2109	0.95788	0.99387	0.22592	0.48512
NME5	4	-0.27652	-1.4007	0.070322	0.39623	0.16129	0.47241
C1orf110	4	0.26809	1.5127	0.98891	0.99873	0.13036	0.47241
CBX1	4	0.26966	1.3354	0.98352	0.99767	0.18175	0.47241
PLEKHN1	4	0.48615	1.3517	0.31744	0.74686	0.17647	0.47241
ADAM9	4	0.45367	0.58595	0.39928	0.80803	0.55791	0.69569
MRPS31	4	-0.6857	-2.3164	0.0054416	0.08106	0.020534	0.29776
PMM2	4	0.080616	0.39722	0.48069	0.85517	0.6912	0.79236
CCDC112	4	-0.20328	-1.0164	0.10517	0.47453	0.30946	0.53106
ARHGEF38	4	0.18141	0.60529	0.7421	0.9451	0.54499	0.68678
PEX2	4	0.059509	0.27931	0.43413	0.82854	0.78001	0.85511
NANP	4	-0.51183	-1.7043	0.017214	0.17688	0.08832	0.47241
CD86	4	0.18335	0.39714	0.74717	0.94619	0.69126	0.79238
IL5RA	4	0.53511	1.6301	0.21719	0.65003	0.10309	0.47241
ZNF528	4	-0.051955	-0.29054	0.24456	0.68094	0.77141	0.84876
GRIK1	4	-0.0061256	-0.029558	0.31221	0.74405	0.97642	0.98659
FAM129A	4	0.50367	1.4433	0.27893	0.71478	0.14892	0.47241
SHCBP1	4	-0.50149	-1.5446	0.018261	0.18368	0.12244	0.47241
EXOC1	4	-1.0726	-3.2224	0.00010465	0.0037037	0.0012713	0.044994
SLC44A3	4	0.16064	0.73165	0.68182	0.92511	0.46438	0.62943
ALDH1A2	4	0.33321	1.1349	0.77428	0.9544	0.2564	0.49896
DDX19B	4	0.23775	1.0449	0.91084	0.98373	0.29608	0.52303
UGGT2	4	-0.33451	-1.7174	0.049916	0.3324	0.085915	0.47241
FRRS1L	4	0.30474	1.5537	0.86767	0.97267	0.12025	0.47241
FAM13B	4	-0.012336	-0.058137	0.303	0.73605	0.95364	0.97148
SERPINB3	4	-0.073512	-0.46333	0.21871	0.65009	0.64313	0.75794
FKBP7	4	-0.033925	-0.20674	0.26999	0.70608	0.83621	0.89604
KIAA1841	4	-0.201	-1.1263	0.10627	0.47632	0.26004	0.50084
AGPAT5	4	-0.21675	-0.79723	0.09753	0.45923	0.42532	0.60378
EIF3I	4	-1.774	-4.6752	0	0	2.9366e-06	0.00092007
CD59	4	0.060595	0.35044	0.43711	0.82992	0.72601	0.8175
HSD17B6	4	0.31351	0.88183	0.83947	0.96762	0.37787	0.57407
METTL25	4	-0.051823	-0.31237	0.24477	0.68133	0.75476	0.83744
SERPINB4	4	-0.0030563	-0.018576	0.31619	0.74614	0.98518	0.99195
PKD2L2	4	0.3726	1.4208	0.64195	0.91594	0.15537	0.47241
SPATA22	4	-0.18347	-1.0018	0.11757	0.49922	0.31645	0.53532
RAB39A	4	0.24587	1.1214	0.937	0.98983	0.26213	0.50198
C7orf72	4	0.053537	0.35045	0.42125	0.8206	0.726	0.8175
TMEM31	4	0.46181	0.83167	0.37861	0.79482	0.4056	0.59151
PPP2R2A	4	-1.3361	-3.8246	0	0	0.00013096	0.010978
PHLDB3	4	0.39336	1.3285	0.57508	0.89301	0.184	0.47241
PRRT2	4	0.14553	0.63721	0.64206	0.91595	0.52399	0.67198
COMMD8	4	0.16562	0.85196	0.69527	0.93001	0.39423	0.58443
BIVM-ERCC5	4	0.041092	0.16186	0.39467	0.8057	0.87141	0.91901
UVRAG	4	-0.64547	-2.5819	0.0072729	0.099286	0.0098268	0.18181
C17orf105	4	0.038348	0.19149	0.39007	0.8036	0.84814	0.90317
RPL39	4	-0.78827	-2.5304	0.0025115	0.046875	0.011392	0.20147
CABYR	4	0.11878	0.86003	0.57158	0.89066	0.38977	0.58166
FBP1	4	0.05992	0.38968	0.43501	0.82877	0.69677	0.79631
RPL10L	4	0.56562	1.5149	0.16429	0.58127	0.1298	0.47241
PHF7	4	-0.41704	-2.5345	0.032336	0.26524	0.01126	0.19981
CT45A7	4	-0.18839	-0.5223	0.11438	0.49245	0.60146	0.72662
ABCA5	4	0.037928	0.25289	0.38981	0.8036	0.80035	0.86967
PROZ	4	0.42904	1.5719	0.46609	0.84513	0.11598	0.47241
HIATL1	4	0.34582	1.4364	0.73012	0.94201	0.15088	0.47241
CEP295NL	4	0.32128	1.5012	0.81399	0.96245	0.13331	0.47241
ZNF460	4	-0.24076	-1.0559	0.085496	0.43434	0.29099	0.51964
DNAJC15	4	0.40513	1.6011	0.53893	0.88102	0.10935	0.47241
AUH	4	0.099009	0.53909	0.52234	0.87264	0.58982	0.71862
ZNF543	4	-0.011035	-0.068508	0.30489	0.73741	0.94538	0.96632
CCDC158	4	0.49318	1.3516	0.30227	0.73574	0.17649	0.47241
OLAH	4	-0.16143	-0.94873	0.13505	0.53435	0.34276	0.55155
GFY	4	0.1618	1.0227	0.68554	0.92666	0.30643	0.52936
TIMM21	4	-0.10793	-0.56146	0.18245	0.60908	0.57448	0.70749
DCD	4	0.54417	1.7324	0.20118	0.63029	0.083203	0.47241
PDP1	4	0.25843	1.202	0.98059	0.99734	0.22935	0.48678
ALG6	4	-0.43923	-1.8103	0.028098	0.242	0.07025	0.47241
BUB1B	4	-0.36292	-1.2823	0.04301	0.30844	0.19974	0.47797
